id_meta,numero_ods,numero_meta,descripcion,indicador_ods,unidad_medida,valor_objetivo_2030
1,3,3.4,Reducir la mortalidad prematura por enfermedades no transmisibles y promover la salud mental,Tasa de mortalidad por suicidio,Tasa por 100.000 habitantes,5.0
2,3,3.5,Fortalecer la prevencion y el tratamiento del abuso de sustancias y problemas de salud mental,Cobertura de servicios de salud mental,Porcentaje de poblacion con acceso,80.0
3,8,8.5,Lograr el empleo pleno y productivo y el trabajo decente para todos,Tasa de desempleo,Porcentaje de poblacion activa,5.0
4,8,8.6,Reducir la proporcion de jovenes que no estan empleados ni cursan estudios,Tasa de paro juvenil,Porcentaje de jovenes 15-24 anos,10.0
5,10,10.1,Reducir la desigualdad de ingresos entre regiones y grupos de poblacion,Diferencia de PIB per capita entre CCAA,Euros,5000.0
6,10,10.2,Promover la inclusion social economica y politica de todas las personas,Indice de desigualdad regional,Coeficiente Gini,0.25
